query_id	query	instru_desc	instru_narr
100	immigrant	The user seeks methods for classifying immigrant background in German survey data (especially the Microcensus 2005–2009) and for measuring immigrants’ educational attainment. They need guidance on coding schemes, survey instrument options, and SAS/SPSS/Stata implementations, including approaches used in SOEP and NEPS.	A document is relevant to the query “immigrant” when it substantively addresses immigrants as a population—such as classification of immigrant background, integration, outcomes, or policies—rather than merely mentioning the term. The provided paragraph is clearly relevant because it centers on classifying immigrant background in the German Microcensus, measuring immigrants’ educational attainment, and survey instruments (SOEP/NEPS) tailored to people with foreign qualifications. Materials that use close synonyms or related constructs (migrants, foreign-born, immigration studies) also count, while pieces focused on emigration, internal/domestic migration, or unrelated uses (e.g., a film titled “The Immigrant”) are non-relevant. Methodological texts are relevant if immigrants are the primary analytic target (e.g., coding foreign credentials or deriving years of education for migrant respondents), but not if immigrants are only a passing example in a generic methods discussion. Edge cases include metadata-only hits or bibliographies where “immigrant” appears without substantive content about immigrant populations, which should be treated as non-relevant.
10109	politik	The user seeks information on survey instruments and pretested questionnaire modules measuring political interest, socio-political attitudes, engagement, and self-efficacy in German studies. They want details from projects like PIAAC-L, GLES 2021, LoneCovid, and RISS, including topics covered and the cognitive interview methods used.	A document is relevant to the query “politik” if it substantively covers political topics such as political interest, socio-political attitudes, engagement, trust in politics, or election research—for example, scales on political interest, modules from the German Longitudinal Election Study (GLES) about politics and society, or measures of political alienation and engagement. Content describing how projects examine political behavior or attitudes (e.g., trust in politics during Covid-19, compliance with political measures, youth self-efficacy in political contexts) is clearly relevant. Documents that only mention politics tangentially—such as referring to “policy and practice” dissemination in a methods or infrastructure description without analyzing political phenomena—are less relevant. Purely methodological passages (e.g., cognitive interview procedures) are non-relevant unless tied to measuring political constructs. Edge cases include projects centered on social or educational topics that still include explicit political variables (e.g., self-efficacy in political life), which should be considered relevant, whereas occurrences of “Politik” only in institutional names or boilerplate should not.
10418	politic	The user is looking for an overview of validated instruments to measure political attitudes and behaviors (e.g., efficacy, cynicism, participation, conservatism, national/pride), including their psychometric properties, translations, and cross-national comparability. They also seek guidance on using web tracking data for political research and expert insights on social media’s impact on democracy.	A document is relevant to the query “politic” when it substantively discusses politics, political behavior, political systems, or political attitudes, including morphological variants like political, politics, politician, and politicization. The provided paragraph is highly relevant because it centers on political constructs and measures (e.g., political participation subscales, PEKS/PESS efficacy scales, Perceived Political Self-Efficacy, system satisfaction, conservatism, national and political pride, partisan identity) and connects methods like web tracking to topics in political communication and democracy, even featuring an interview about social media’s impact on democratic processes. Methodological content remains relevant when it directly measures or analyzes political phenomena (e.g., validity, reliability, and cross-national invariance of political scales), whereas a purely technical web-tracking guide without any link to political outcomes would be less relevant. Non-relevant matches would include uses of “politic” meaning “prudent” in etiquette or business advice, or incidental mentions (e.g., a citation list where “political” appears without substantive discussion). Edge cases include terms like “body politic” or debates about the “politicization” of research; these are relevant if they engage political institutions, attitudes, or behavior, but borderline if they only invoke the term metaphorically without political content.
1112	politisches interesse	The user is seeking survey instruments and validated items for measuring political interest, especially brief scales from CSES Module 5 within German pretest studies, including item wording and psychometric properties. They also want context on related constructs (e.g., political efficacy, cynicism) and how these measures were cognitively tested and implemented.	A document is relevant if it directly defines, measures, or reports on “politisches Interesse” (political interest), for example by describing a two‑item scale asking how interested respondents are in politics or by detailing modules like CSES that include political interest items. It is also relevant if it discusses pretests, validation, reliability, or cognitive interviewing of political-interest measures, or uses political interest as a key variable in explaining participation or vote choice. Documents that focus only on adjacent constructs—political efficacy (PEKS), political cynicism (KPZ), conservatism (SECS GER), asylum attitudes, or environmental engagement—are non‑relevant unless they explicitly include a political-interest item or subscale. References to datasets, coding tools, or infrastructure without a tie to measuring interest (e.g., CAMCES for education, migration-typology coding, regional keys like AGS/NUTS) are non‑relevant. Edge cases include inventories that merely name political interest among many topics (minimally relevant), synonym phrasing like Politikinteresse or “Interesse an Politik” (relevant), and uses of “interest” in the economic sense (interest rates or inflation expectations) which are not relevant.
1156	religion	The user is seeking details on psychological measures related to religion, specifically scales that assess parental religious upbringing/religiosity and the thought–action fusion construct (including the “moral religion” subdimension). They want to understand how these instruments operationalize family socialization factors and relate to attitudes toward in- and out-groups.	A document is relevant to the query “religion” if it substantively discusses religiosity, religious upbringing, or moral-religious dimensions—for example, describing how parents’ religiosity shapes children’s in-group/out-group attitudes or detailing a “moral religion (MR)” subscale within a psychological measure. Content that operationalizes religion (e.g., items measuring parental religious socialization or thought-action fusion specifically in moral-religious contexts) also counts as relevant because it treats religion as a construct under study, not just a passing mention. By contrast, a document is non-relevant if “religion” appears only tangentially (such as a brief label in a scale with no further treatment) or if the focus is purely on general cognitive bias without any specific religious dimension. Edge cases include texts that use acronyms like MR without clarifying the religious component, or that discuss “spirituality” or “faith” as proxies for religiosity—these can be relevant if they explicitly connect to religious beliefs or practices, but not if they remain entirely secular or metaphorical.
11910	persönlichkeit	The user is looking for German-language psychometric instruments to measure personality and related constructs—such as Big Five (BFI-10), right-wing authoritarianism, social desirability (KSE-G), interpersonal trust/morality, and attitudes toward military interventions—along with evidence of their validity/reliability and guidelines for documenting survey measures in social and behavioral research.	A document is relevant to the query “persönlichkeit” if it focuses on personality as a psychological construct, its theories, or its measurement—e.g., discussing the Big Five (BFI-10), authoritarian personality/Right-Wing Authoritarianism (Altemeyer’s subdimensions), PASK5, 16PF, or NEO-PI-R, and how these tools capture individual differences. Content that links attitudes (trust/mistrust, moral judgments, acceptance of military interventions) explicitly to personality models or scales is also relevant—for instance, using RWA items to operationalize authoritarian aggression or conventionalism. Methodological discussions are relevant when they document or validate personality instruments or adjacent controls like social desirability (KSE-G) in the context of personality assessment; they are less relevant if they only outline generic survey documentation standards without a clear tie to personality constructs. Non-relevant items include uses of “Persönlichkeit” in non-psychological senses (brand personality, character in literature), legal topics like Persönlichkeitsrecht, or policy analyses of military interventions that do not operationalize personality. Edge cases include scales like KSE-G: relevant when used to interpret or adjust personality data, but not when presented in isolation unrelated to personality measurement.
12195	persönlichkeitsmerkmale	The user is seeking information on personality traits as measured by German-language instruments, such as mood (Stimmungsskala) and self-control scales, including their theoretical bases. They also want to understand how these traits are used as determinants in research on conceptions of democracy and preferences for democratic procedures.	A document is relevant if it explicitly discusses personality traits (Persönlichkeitsmerkmale) as stable dispositions, defines or theorizes them, or presents instruments that measure them—for example, a mood scale conceptualized as a trait with factors like mood disposition and reactivity, or a 23-item Self-Control Scale grounded in Gottfredson and Hirschi’s theory. Content linking traits to outcomes (e.g., how self-control relates to deviant behavior) or to broader research contexts (such as determinants of democratic procedure preferences) also counts as relevant. It may be partially relevant if it mentions personality traits only as one of several determinants without detailing them, or if it uses near-synonyms like trait, disposition, or Eigenschaft. Non-relevant would be texts that treat mood purely as a transient state rather than a trait, or that use “Merkmale” to mean demographics or procedural attributes (e.g., features of democratic processes) with no substantive treatment of personality constructs. Edge cases include mixed-methods pretests where traits are noted but not operationalized, or surveys that list “Persönlichkeitsmerkmale” without providing scales, definitions, or examples.
1259	sexuelle orientierung	The user seeks documentation on how sexual orientation is measured in German social surveys, especially the FReDA panel (waves 6a and 2b), including the specific items, their development/adaptation, and results of cognitive online pretests (web probing). They want to understand the survey context (e.g., household composition, fertility, affective touch, transnational families) in which these sexual orientation questions are embedded.	A document is relevant to “sexuelle orientierung” when it directly discusses sexual orientation as a survey topic, measure, or analytical focus—for example, the FReDA W6a and W2b modules that include questions on household composition and sexual orientation, affective touch, and support in transnational families, with details on cognitive pretesting via web probing. By contrast, many uses of “Orientierung” here are unrelated (e.g., collective/team orientation, political left–right orientation, religious orientation, causal orientations) and should not be considered matches for sexual orientation. Mentions such as the fascism scale’s “Überbetonung des Sexuellen,” general gender equality items, or family climate scales concern other constructs and are non-relevant to the query. An edge case is when sexual orientation is only listed among many topics without item detail; that can be borderline, but tying it to specific FReDA waves and instruments increases relevance. Content on climate change, managerial practices, or guidelines for online survey documentation is unrelated and should not influence retrieval for this query.
12604	personal	The user seeks social science survey resources centered on “personal” constructs and person-based classifications. This includes personality and personal norm/responsibility scales, questionnaires on personal behaviors (e.g., cancer screening, technophobia), and methodological guidance on web paradata and identifying chief income earners and cohabiting unions in the German Microcensus.	A document is relevant to the query “personal” if it discusses individual-level attributes, behaviors, norms, or data, or explicitly contrasts personal versus non-personal information. In this paragraph, relevant content includes measures and questionnaires about personal cancer screening, personal ecological responsibility, personal norms for environmentally friendly behavior (global and traffic-specific), “personal failure” as a technophobia dimension, and domains like Personal Intelligence; the guideline on web paradata is also relevant where it distinguishes personal from non-personal paradata and addresses consent. By contrast, material focused on “person” or “persons” in a demographic sense (e.g., chief income earner, household reference person, advance letters to target persons, microcensus methodology) is non-relevant if it doesn’t address “personal” attributes or data. Edge cases include morphological or substring matches such as “personality” (relevant only if the discussion is about personal traits in a way that aligns with the query’s intent) and “non-personal” (may still be relevant when it helps define or contrast what counts as personal). Mentions where “personal” appears only incidentally or as part of unrelated administrative phrasing should be treated as non-relevant.
1293	alcohol	The user is seeking information on alcohol addiction assessment tools, specifically biographical questionnaires that evaluate personality dimensions (e.g., neuroticism, socialization, goal orientation) and emphasize life‑history factors.	A document is relevant to the query “alcohol” when it directly addresses alcohol use or misuse, such as addiction, assessment, treatment, health effects, policy, or consumption patterns. The provided paragraph is relevant because it focuses on a biographical questionnaire designed for alcohol addicts, detailing personality dimensions and its life-history focus—useful for research or clinical assessment of alcoholism. However, it would be non-relevant for intents about the chemistry of alcohols, beverage information, legal limits, or physiological effects, since it doesn’t discuss ethanol properties, drinking guidelines, or health outcomes. Examples of relevant content include diagnostic criteria for alcohol use disorder, validation of screening tools (e.g., AUDIT), or studies on therapy outcomes; non-relevant examples include generic personality inventories with no alcohol linkage or articles where “alcohol” appears only in a citation. Edge cases include psychometric tool development papers that use alcohol-dependent samples (still relevant if the tool targets alcoholism) versus chemistry texts using “alcohols” generically (irrelevant to the lay “alcohol” intent).
