qid	query	instru_desc	instru_narr
21958	meinung zu flüchtlingen	Questionnaires, survey modules, validated scales and coding schemes used to measure public opinion and attitudes toward refugees and related constructs.	Include full questionnaires or modules that contain refugee-attitude items, validated scales for measuring xenophobia/social distance, vignette instruments about refugee scenarios, interviewer guidelines and codebooks, and instruments for measuring contact or media exposure relevant to refugee attitudes. Exclude instruments focused exclusively on administrative registration of refugees, technical asylum procedures, or instruments measuring migration policy capacity without attitudinal components.
478	allgemeine lebenszufriedenheit	Survey instruments and psychometric tools used to measure global life satisfaction and subjective well‑being (questionnaire modules, SWLS, translation/validation documents, scoring manuals).	Include validated instruments (Satisfaction With Life Scale, single‑item global measures used in ESS/WVS), questionnaire modules containing life satisfaction items, translation and cultural adaptation reports, and documentation on administration and scoring. Exclude instruments that only measure domain‑specific satisfaction or affect without a global life satisfaction component.
52564	allgemeine selbstwirksamkeit	Validated instruments and administration materials for measuring general self‑efficacy (e.g., General Self‑Efficacy Scale by Schwarzer & Jerusalem), translations, scoring guidelines and psychometric evaluations.	Include scale instruments (full item lists), scoring manuals, normative data, translation/adaptation reports, and guidance for use in surveys or interventions. Exclude instruments that exclusively measure domain‑specific self‑efficacy (e.g., academic self‑efficacy) when no general self‑efficacy instrument is present.
3147	antisemitismus	Survey scales, questionnaires, codebooks and coding schemes used to measure antisemitism and to record antisemitic incidents (measurement instruments, vignette protocols, incident classification schemas).	Include validated antisemitism scales, questionnaire modules used in national/international surveys, coding manuals for incident databases, and methodological documentation on administering sensitive items. Exclude generic prejudice instruments that do not include antisemitism items and technical police systems unrelated to research classification.
3278	arbeit und beschäftigung	Survey modules, questionnaires, coding schemes and analytic tools for measuring employment and work (labour force modules, occupational/industry coding manuals, job quality indices).	Include standard labour force questionnaires, interviewer instructions, occupational/industry coding manuals (ISCO, NACE), job classification concordances, job quality measurement tools, and documentation for administrative employment registers. Exclude instruments that measure only non‑work constructs or that are irrelevant to measuring employment (e.g., medical assessment tools without occupational linkage).
3284	arbeit belastung	Validated questionnaires and measurement tools for assessing occupational workload and psychosocial/physical burdens at work (e.g. JCQ, COPSOQ, ERI, burnout inventories).	Include descriptions and use of validated instruments for measuring job demands and occupational stress such as the Job Content Questionnaire (JCQ), Copenhagen Psychosocial Questionnaire (COPSOQ), Effort-Reward Imbalance (ERI) questionnaire, Maslach Burnout Inventory (MBI), Perceived Stress Scale (when used in occupational context), and workplace exposure assessment protocols. Also include time-use diaries, ergonomic assessment checklists, and employer absence records used to quantify burden. Exclude management tools or organizational audits that do not produce measures of workload or psychosocial/physical burden.
55053	arbeit zufriedenheit	Standardized instruments and scales to measure job satisfaction and related constructs (e.g. JSS, MSQ, single-item measures, engagement scales).	Include established instruments such as the Job Satisfaction Survey (JSS), Minnesota Satisfaction Questionnaire (MSQ), single-item global satisfaction questions, and related engagement or commitment instruments (e.g. Utrecht Work Engagement Scale where relevant). Include survey modules and questionnaires used in labour and working conditions surveys to assess satisfaction. Exclude instruments that measure only managerial performance or customer satisfaction without employee-reported satisfaction.
55082	arbeit und betrieb	Instruments for assessing workplace organization and company-level practices such as employer questionnaires, organizational audits, and workplace assessment protocols.	Include employer survey instruments, organizational climate audits, management practice indexes, workplace risk assessment tools, and standardized establishment survey modules used to measure company-level working conditions and HR practices. Include protocols for matched employer-employee data collection. Exclude business tools focused solely on market performance or customer analytics that do not assess employee work or workplace organization.
55098	arbeit und leben	Measurement tools for assessing work–life balance and related constructs such as work–family conflict scales, time-use diaries, and flexible work use modules.	Include validated scales like the Work–Family Conflict Scale (Netemeyer et al.), Work–Life Balance questionnaires, time-use diary methodologies, survey modules on telework and flexible scheduling (e.g. EWCS modules), and instruments measuring caregiving burden. Include employer policies inventories that record leave entitlements and flexible arrangements. Exclude general well‑being instruments that do not include work–life items or tools measuring only organizational performance.
55428	arbeit	Standard instruments and classification systems used in work and employment research such as labour force questionnaires, ISCO occupational coding, industry classifications, and working conditions survey modules.	Include tools used to measure employment and work characteristics: labour force survey questionnaires, time-use diaries for work, occupational and industry classification systems (ISCO, NACE/WZ), standardized working conditions and occupational health survey modules (e.g. EWCS items), and administrative record linkage protocols. Include validated scales for job quality and work-related health. Exclude instruments unrelated to measuring work or employment.
55638	arbeit im wandel	Questionnaires, coding schemes and measurement instruments used to assess changes in work, occupations and job tasks.	Relevant instruments: survey modules and questionnaires on job tasks and task routineness, measures of digitalisation and platform work, occupational history calendars, instruments for coding occupations (ISCO concordances, national mappings), workplace change assessment tools, employer survey modules on restructuring and technology adoption, and validated scales for measuring skill use and task content. Exclude: technical engineering tools unrelated to labor outcomes, clinical assessment instruments not designed for workplace research.
55684	arbeit und beruf	Instruments and tools used to measure and classify occupations, career histories and vocational competences.	Relevant instruments: occupational classification manuals (ISCO, national classifications), job history calendars, questionnaires on vocational training and career development, coding tools and concordances between classification systems, career trajectory mapping tools, and competency assessment instruments. Exclude: measurement tools unrelated to occupational analysis (e.g. clinical psychometrics not adapted to workplace contexts).
