query_id	query	item_type	var_desc	var_narr
21585	linksrechtsskala	publication	The searcher wants a clear definition and practical overview of the "links–rechts–skala" (left–right political self‑placement scale), including how it is measured and used in surveys and research. They are likely seeking information on different scale formats and orientations, validity and interpretation issues, and the scale's relevance for groups like young people and cross‑national comparisons.	A document is relevant to the keyword "linksrechtsskala" when it explicitly treats the left–right political scale (e.g., mentions "LinksRechtsSkala", "left–right scale", or gives self‑placement items such as "0 = left, 10 = right"), reports empirical results from such scales, or analyzes how that scale is constructed, presented, or interpreted (for example questionnaire experiments varying horizontal/vertical orientation, youth interviews about what "left" and "right" mean, or manifesto-based left–right positionings). Sections that compare ideological dimensions (economic vs. socio‑cultural left–right axes), present typologies of political positioning, or use comparative party/program data to derive left–right scores are clearly relevant. Documents are not relevant when they discuss voting, turnout, or social structure without any left–right measure, or when "links" or "rechts" appear in non‑ideological senses (e.g., anatomical left/right, web links, or legal "Recht") and do not address political positioning. Edge cases include studies that measure related concepts (political interest, trust, or partisanship) and report left–right only as a background variable—these are partially relevant if they provide the actual scale items or analysis, but less so if they only use the label without detail.
21895	linksrechts	publication	Looking for research and empirical evidence on what Germans mean by the political labels "left" and "right" — which coherent conceptions exist (e.g., economic, cultural, system-oriented or emotional) and how social-structural factors (education, class, age, East/West region) shape those associations. Also want studies using ALLBUS and similar surveys on measurement issues (e.g., middle category), how meanings changed over time, and the implications for voting behavior and political participation.	A document is relevant to the keyword "linksrechts" when it substantively treats the political left–right dimension — for example, analyses of left/right self‑placement, semantic associations with "links" and "rechts," survey results (ALLBUS, Politbarometer, ISSP), measurement methods (e.g., correspondence analysis like CAGalt), or how social structure (education, region, age, class) shapes left–right concepts. Concrete signals of relevance are discussion of ideological concepts (economic vs. cultural vs. system‑related meanings), empirical findings about variation in associations, or case studies that connect movements or attitudes (e.g., "MosaikLinke," Montagsmahnwachen, antisemitism) to left–right positioning. A document is non‑relevant if the words "links" or "rechts" appear only incidentally (hyperlinks, anatomical left/right, layout directions), occur in metadata or lists without substantive treatment, or if the piece focuses on unrelated measurement issues without applying them to left–right ideology. Ambiguous edge cases include studies of extremism or prejudice — these are relevant only when they explicitly link those phenomena to left/right self‑placement or use the left–right dimension as an analytical variable.
317	homeoffice	publication	Information on the prevalence, access, use and effects of home office (remote/mobile work) — including who can work from home, how much work is done and recognised there, impacts on productivity, wellbeing and gender/social inequalities, and organisational or spatial consequences. The query also seeks empirical findings from German surveys (e.g. BIBB‑BAuA, SOEP, ALLBUS, LPP/LLP, DEAS), changes driven by COVID‑19, and related legal and policy implications.	A document is relevant to the keyword "homeoffice" when it explicitly treats working from home (homeoffice/telework/remote work) — for example by reporting prevalence rates, access and usage patterns, contractual recognition, sectoral or regional breakdowns, demographic differences (age, gender, class), effects on productivity, mental health or work–life balance, or legal and organizational regulations introduced during the pandemic. Highly relevant items include representative surveys that give percentages of employees who work from home, longitudinal comparisons (pre/post‑COVID), studies of homeoffice arrangements and equipment, and evaluations of policy or company rules that enable or restrict homeworking. Documents that focus only on general digitalization, industrial automation, or office employment without saying where the work is done are non‑relevant or only marginally relevant. Edge cases include research on coworking, mobile work or digital collaboration tools — these are partially relevant if they explicitly compare or situate those modes with homeoffice, and policy papers on childcare/lockdowns are relevant only if they measure homeoffice uptake or consequences. Finally, consider methodology and context: small qualitative case studies or single‑firm reports may be informative but less generalizable than large representative surveys, and region‑ or language‑specific statistics (e.g. German datasets) matter for scope.
6346	worklifebalance	publication	A search for "worklifebalance" seeks a concise overview of the concept, its common workplace and policy measures (e.g., flexible hours, telework, parental leave, childcare) and the evidence on their benefits and risks. It also aims to understand practical implementation challenges and gendered effects (career impacts, long‑hours culture, boundary‑setting) to guide employers, HR professionals and policymakers.	A document is relevant to the keyword "worklifebalance" when its primary topic is the reconciliation of work and private life (often labelled WLB, work‑life balance, or Vereinbarkeit), or when it provides substantive discussion of measures, policies or practices such as flexible hours, part‑time work, teleworking/home‑office, childcare/eldercare provision, parental leave, managerial implementation, or empirical studies of the long‑hours culture. Practical case studies (e.g. in academia, corporate HR, public administration), evaluations of WLB programmes, cross‑country comparisons, gendered analyses (fathers, mothers, intersectionality) and COVID‑era home‑office impacts are all clearly relevant examples. A document is non‑relevant if WLB is only mentioned in passing (e.g. a long bibliography or a glossary entry), if the focus is on an unrelated theme (e.g. pure diversity theory without any WLB measures), or if the term appears solely as a metaphor with no substantive treatment of work–private boundary issues. Edge cases to watch for: relevant material may be in other languages (German texts using WorkLifeBalance/WLB), use variant spellings/acronyms, or treat WLB critically (e.g. as self‑exploitation) — these are still relevant but may require attention to scope (policy vs. critique) and context (national labour law, sector, or methodology).
19136	migra	research_data	The query "migra" likely indicates a need for information about migration — its causes, patterns, and effects (e.g., academic migration, refugee flows, labor migration) — and about empirical sources and surveys used to study these topics. The searcher is probably looking for datasets, study results, or policy and integration information (questions, variables, and measurements) to analyze migration outcomes and public attitudes.	A document is relevant to the keyword "migra" when it centrally addresses migration-related concepts (migration, migrant, immigrat*, emigrat*, remigration, refugee, asylum, mobility) rather than using the letters as an incidental substring. Relevant signals include empirical studies or surveys of movers (e.g., research on Russian academics who migrated to Germany), policy analyses of immigration or asylum, datasets on flows and remittances, or measures of integration and labour mobility; presence of country names, sample sizes, survey methods, or terms like “refugee,” “emigration,” “return migration,” or “integration” strengthens relevance. Non‑relevant documents include those where "migra" appears in unrelated senses (e.g., “migraine,” brand names, or coincidental strings) or where migration is only briefly mentioned in passing; short, single-line mentions or meta-data hits without substantive migration content are low value. Edge cases to watch: internal mobility studies (moving within a country), digitization-driven mobility, or non‑English sources using the stem (migra-, migración, migrazione) can be relevant if the topical context is migration, so check surrounding context (abstract, keywords, methods, population) to confirm true relevance.
21585	linksrechtsskala	research_data	A variable capturing ideological position on a left–right continuum — either respondents' self-placement or coders' placement of parties/programmes — used to measure political orientation across surveys (e.g., Eurobarometer, ALLBUS, national election studies, manifesto codings). Researchers use it to analyze party positions, vote choice, policy preferences, and trends in political ideology.	A document is relevant if it explicitly contains a left–right (Links–Rechts) scale or variables about left–right placement — for example survey items labeled "LinksRechtsSkala", "Selbsteinstufung auf einem Links–Rechts-Kontinuum", party positions coded on a left–right dimension, or dataset fields showing party or respondent placement on a left–right scale (e.g. EMCS/Euromanifesto, EES, ALLBUS, ESS modules with LinksRechts variables). Good examples of relevant records are codebooks and datasets that list "Einstufung der Parteien ... auf einem LinksRechtsKontinuum", "Selbsteinstufung LinksRechts", or "LinksRechtsPositionen der Partei" as actual variables. Non‑relevant documents either lack any left–right measure (only list other scales such as authoritarian/liberal, pro/anti‑EU, or issue indices) or use the tokens "links" or "right" in unrelated senses (hyperlinks, legal "Rechts", directional "right"), which are false positives. Edge cases include multilingual or concatenated spellings (LinksRechts, Links–Rechts, LinksRechtsSkala) — these should be treated as relevant — and texts that discuss left–right ideology only conceptually (no variable or coded measure), which are borderline: useful for background but not for variable extraction.
21895	linksrechts	research_data	A user searching "linksrechts" is likely looking for documentation and data on how German respondents interpret and place themselves on the left–right ideological scale ("links"/"rechts"), including the open-ended responses (F029/F030) and their coding in surveys like ALLBUS 2008, GIP and GLES. They want the question wording, variable names/coding and guidance on using these measures for analyses of political attitudes, party positioning and related electoral or candidate-level research.	A document is relevant to the keyword "linksrechts" if it explicitly discusses left–right political orientation (e.g. the German term "Links–Rechts", "LinksRechtsSelbsteinstufung") or contains the survey items/variables measuring it (such as questions F029/F030 or LinksRechts self-placement and party/voter left–right ratings). Examples of clearly relevant documents are codebooks or datasets that record ALLBUS/GIP/GLES variables on left–right self-placement, question wording, response coding, or experiments that prime or vary left–right measures. Documents are not relevant if "links" and "rechts" appear only as ordinary directional words, hyperlinks, legal terms ("Rechtsanwalt"), or in unrelated topic lists (e.g. technical metadata, timestamps, or non-political modules). Edge cases include records that mention "LinksRechts" only in a long variable list without providing the actual items (partially relevant) and documents using English synonyms ("left–right", "left right scale") or experimental descriptions of how the left–right question was rotated or primed (which should be considered relevant).
28676	worklife	research_data	The user wants empirical evidence and data about work–life balance: how employment hours, gender and parental status (and shocks like COVID‑19) affect life satisfaction, work–family conflict and related outcomes. They are looking for relevant studies and survey datasets (e.g. GSOEP, GESIS/GIP, EVS, ISSP, EU‑LFS, LEEPB) and variable documentation to analyze or replicate findings.	A document is relevant to the keyword "worklife" when it directly addresses work–life balance, reconciliation of employment and family responsibilities, work–life conflict, working hours, leave arrangements, childcare/eldercare, telework or measures that affect how paid work and private life interact. For example, the paragraph cites explicit modules and papers on "WorkLife Conflict and Self‑Rated Health," EU ad‑hoc modules on "Reconciliation between work and family life," measures of working time, childcare arrangements and parental leave, and surveys asking about home‑office or reduced hours—all strong relevance signals. Documents that are non‑relevant merely mention “work” or “life” in passing, are pure metadata/technical codebooks, or focus solely on unrelated topics (e.g., raw occupational codes, broad political opinion items) without variables linking employment to family or well‑being; however some COVID‑surveys that concentrate on infection risk may be borderline relevant if they also contain questions about changes in work situation, childcare or home‑office. Edge cases include long instrument descriptions or multilingual repeats: these can still be useful if they list specific variables (hours worked, childcare responsibility, leave taken, satisfaction with work–family balance), but should be judged on whether those variables or substantive analyses are actually present.
317	homeoffice	research_data	Seeking research and survey-based information on home office/telework in Germany during the COVID‑19 pandemic — including how prevalence changed, which occupations and social groups could or did work from home (indices of feasibility), and associated economic, health (e.g., compulsive working), family and policy impacts. The user likely wants data sources, study findings, and measures/variables used in German surveys to analyze telework effects and distribution.	A document is relevant to the query "homeoffice" if it treats telework/working from home as a central subject — for example empirical estimates of prevalence (e.g., Kohlrausch & Zucco 2020), indices measuring the ability to work from home, regression analyses of home office effects (e.g., on work addiction), or discussions of legal/policy attitudes toward a statutory right to home office. Relevant signals include explicit keywords and synonyms (homeoffice, Home Office, telework, Telearbeit, work from home), descriptions of survey modules that record current work location or changes in work situation, and analyses that compare occupational or social groups by home‑working ability. A document is non‑relevant when home office is only mentioned incidentally among many unrelated topics (e.g., a broad COVID survey that never records work location), or when it focuses on tangential items (general pandemic risk perception, tax policy, or EU politics) without linking them to remote working. Edge cases to watch: German‑language content or mixed multilingual texts are relevant if they contain the above signals; papers about digital tools or telecommunication infrastructure without worker/outcome data are partially relevant; and short, passing mentions of "working from home" (e.g., as one line in a long questionnaire) may be low relevance unless the dataset provides analyzable home‑office variables.
34932	rightwing	research_data	Seeking datasets and documentation on right‑wing politics and extremism — including party positions and Euroscepticism in EU elections, replication files and code, and a record of right‑wing extremist demonstrations in Germany (2005–2020). Also looking for survey variables and scales measuring right‑wing attitudes (e.g., Right‑Wing Authoritarianism, social dominance, xenophobia, antisemitism) and metadata from projects like EU Profiler, EUandI, ThüringenMonitor, ICCP and GESIS.	A document is relevant to the keyword "rightwing" when its primary content concerns right‑wing actors, ideologies, attitudes, or events — for example studies of right‑wing Eurosceptic parties in the European Parliament, datasets on right‑wing extremist demonstrations (the paragraph’s 3,290‑observation German demonstrations file is a direct hit), or surveys that include Right‑Wing Authoritarianism, xenophobia, AfD support, or related scales. The EP replication files that document greater coherence among right‑wing Eurosceptics and the ThüringenMonitor measures of right‑extremist attitudes are clearly relevant because they center on right‑wing politics and behaviors. By contrast, materials that only incidentally record a left–right self‑placement item or that focus on general demographics, EU procedures, or unrelated topics without substantive analysis of right‑wing phenomena are non‑relevant or only marginally relevant. Edge cases include texts that use “right” in a directional or non‑political sense, documents in other languages using terms like rechtsradikal/rechtsextrem, or studies of conservative policy positions that are relevant to some searches but less so for queries specifically about right‑wing extremism.
