query_id	query	item_type	result_set
55428	arbeit	publication	cews-2-761611, cews-2-772962, cews-2-806339, cews-2-806452, gesis-ssoar-41191, gesis-ssoar-46459, gesis-ssoar-48894, gesis-ssoar-5368, gesis-ssoar-57388, gesis-ssoar-57433, gesis-ssoar-57641, gesis-ssoar-57886, gesis-ssoar-61975, gesis-ssoar-62827, gesis-ssoar-64848, gesis-ssoar-64866, gesis-ssoar-64872, gesis-ssoar-64885, gesis-ssoar-66271, gesis-ssoar-67309, gesis-ssoar-67419, gesis-ssoar-67869, gesis-ssoar-67896, gesis-ssoar-68020, gesis-ssoar-68021, gesis-ssoar-68357, gesis-ssoar-69151, gesis-ssoar-69254, gesis-ssoar-69260, gesis-ssoar-72519, gesis-ssoar-72633, gesis-ssoar-72639, gesis-ssoar-73301, gesis-ssoar-74430, gesis-ssoar-74530, gesis-ssoar-74532, gesis-ssoar-74931, gesis-ssoar-74990, gesis-ssoar-75423, gesis-ssoar-75432, gesis-ssoar-75526, gesis-ssoar-75795, gesis-ssoar-76969, gesis-ssoar-77188, gesis-ssoar-77208, gris-publication-5845
55428	arbeit	research_data	SDN-10.7802-1.1989, SDN-10.7802-2116, SDN-10.7802-2118, SDN-10.7802-2122, SDN-10.7802-2157, SDN-10.7802-2241, SDN-10.7802-2246, SDN-10.7802-2247, SDN-10.7802-2260, SDN-10.7802-2261, SDN-10.7802-2262, SDN-10.7802-2268, SDN-10.7802-2285, SDN-10.7802-2286, SDN-10.7802-2291, SDN-10.7802-2293, SDN-10.7802-2303, SDN-10.7802-2305, SDN-10.7802-2312, SDN-10.7802-2321, SDN-10.7802-2323, SDN-10.7802-2326, SDN-10.7802-2335, SDN-10.7802-2354, SDN-10.7802-2456, SDN-10.7802-2465, SDN-10.7802-2498, SDN-10.7802-2520, SDN-10.7802-2521, SDN-10.7802-2526, SDN-10.7802-2530, SDN-10.7802-2544, SDN-10.7802-2547, SDN-10.7802-2565, SDN-10.7802-2567, SDN-10.7802-2573, SDN-10.7802-2590, ZA2392, ZA3090, ZA3176, ZA3207, ZA3940, ZA4350, ZA4561, ZA4672, ZA4673, ZA4750, ZA4762, ZA4799, ZA4800, ZA4804, ZA4820, ZA4998, ZA5093, ZA5174, ZA5228, ZA5242, ZA5250, ZA5275, ZA5277, ZA5352, ZA5356, ZA5400, ZA5439, ZA5526, ZA5545, ZA5583, ZA5585, ZA5650, ZA5657, ZA5664, ZA5665, ZA5674, ZA5675, ZA5676, ZA5763, ZA5776, ZA5789, ZA5841, ZA5845, ZA5846, ZA5854, ZA5895, ZA5908, ZA5909, ZA5922, ZA5933, ZA5951, ZA5968, ZA5969, ZA5976, ZA5980, ZA5989, ZA6265, ZA6332, ZA6338, ZA6482, ZA6483, ZA6484, ZA6485, ZA6597, ZA6598, ZA6599, ZA6612, ZA6616, ZA6625, ZA6629, ZA6635, ZA6638, ZA6644, ZA6655, ZA6656, ZA6657, ZA6680, ZA6701, ZA6709, ZA6712, ZA6717, ZA6726, ZA6738, ZA6739, ZA6741, ZA6743, ZA6749, ZA6750, ZA6751, ZA6752, ZA6754, ZA6757, ZA6762, ZA6763, ZA6767, ZA6770, ZA6793, ZA6796, ZA6849, ZA6861, ZA6865, ZA6887, ZA6897, ZA6901, ZA6902, ZA6905, ZA6909, ZA6916, ZA6921, ZA6943, ZA6964, ZA6974, ZA6975, ZA6986, ZA7475, ZA7500, ZA7501, ZA7502, ZA7503, ZA7504, ZA7505, ZA7539, ZA7546, ZA7549, ZA7550, ZA7555, ZA7557, ZA7565, ZA7570, ZA7574, ZA7579, ZA7583, ZA7584, ZA7603, ZA7610, ZA7611, ZA7633, ZA7642, ZA7646, ZA7650, ZA7652, ZA7654, ZA7657, ZA7658, ZA7660, ZA7661, ZA7664, ZA7665, ZA7666, ZA7667, ZA7668, ZA7669, ZA7672, ZA7676, ZA7677, ZA7680, ZA7681, ZA7683, ZA7684, ZA7687, ZA7688, ZA7689, ZA7690, ZA7691, ZA7692, ZA7693, ZA7694, ZA7695, ZA7696, ZA7697, ZA7698, ZA7699, ZA7735, ZA7760, ZA7777, ZA7784, ZA7785, ZA7787, ZA7788, ZA7789, ZA7790, ZA7792, ZA7793, ZA7796, ZA7797, ZA7798, ZA7800, ZA7814, ZA7815, ZA7816, ZA7819, ZA7825, ZA7834, ZA7836, ZA7837, ZA7838, ZA7839, ZA7840, ZA7841, ZA7842, ZA7852, ZA7866, ZA7878, ZA7900, ZA7905, ZA7907, ZA7908, ZA7909, ZA7910, ZA7911, ZA7912, ZA7915, ZA7916, ZA7917, ZA7918, ZA7925, ZA7927, ZA7928, ZA7929, ZA7930, ZA7931, ZA8642, ZA8680, ZA8689, ZA8753, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de660474
55428	arbeit	instruments_tools	gml-10, gml-11, gml-12, gml-14, gml-15, gml-2, gml-4, pretest-10, pretest-101, pretest-114, pretest-116, pretest-12, pretest-122, pretest-125, pretest-14, pretest-16, pretest-19, pretest-2, pretest-20, pretest-21, pretest-22, pretest-23, pretest-24, pretest-28, pretest-29, pretest-3, pretest-30, pretest-31, pretest-34, pretest-35, pretest-36, pretest-38, pretest-4, pretest-40, pretest-42, pretest-47, pretest-48, pretest-50, pretest-54, pretest-59, pretest-60, pretest-72, pretest-73, pretest-74, pretest-75, pretest-8, pretest-80, pretest-87, pretest-89, pretest-90, pretest-94, pretest-96, pretest-97, sg-12, sg-13, sg-37, sg-41, zis1, zis10, zis103, zis11, zis111, zis12, zis125, zis126, zis13, zis131, zis133, zis134, zis14, zis148, zis155, zis16, zis17, zis170, zis175, zis176, zis177, zis178, zis179, zis18, zis192, zis196, zis2, zis204, zis209, zis21, zis22, zis220, zis23, zis238, zis24, zis243, zis249, zis25, zis251, zis253, zis257, zis26, zis260, zis266, zis268, zis27, zis273, zis275, zis277, zis279, zis28, zis280, zis281, zis282, zis285, zis287, zis288, zis29, zis291, zis296, zis297, zis298, zis299, zis3, zis301, zis303, zis304, zis305, zis307, zis31, zis314, zis315, zis316, zis32, zis4, zis5, zis51, zis53, zis58, zis6, zis64, zis7, zis71, zis72, zis73, zis74, zis75, zis8, zis9, zis90
55428	arbeit	variables	exploredata-ZA0145_VarV135, exploredata-ZA0861_VarV175, exploredata-ZA1990_VarV159, exploredata-ZA1990_VarV170, exploredata-ZA1990_VarV177, exploredata-ZA2140_VarV290, exploredata-ZA2140_VarV296, exploredata-ZA2324_VarV10, exploredata-ZA2324_VarV11, exploredata-ZA2400_VarV182, exploredata-ZA2400_VarV213, exploredata-ZA2546_VarV175, exploredata-ZA2599_VarV182, exploredata-ZA3160_VarV210, exploredata-ZA3450_VarV266, exploredata-ZA3450_VarV445, exploredata-ZA3850_VarV221, exploredata-ZA4223_VarV304, exploredata-ZA4224_VarV304, exploredata-ZA4259_VarV418, exploredata-ZA4500_VarV489, exploredata-ZA4600_VarV384, exploredata-ZA4610_VarV714, exploredata-ZA5100_VarVk34, exploredata-ZA5240_VarV106, exploredata-ZA5240_VarV114, exploredata-ZA5240_VarV150, exploredata-ZA5250_VarI000, exploredata-ZA5250_VarI004, exploredata-ZA5250_VarI013_1, exploredata-ZA5250_VarI020, exploredata-ZA5250_VarI039_2, exploredata-ZA5250_VarI039_3, exploredata-ZA5250_VarI039_4, exploredata-ZA5250_VarI039_6, exploredata-ZA5250_VarI043, exploredata-ZA5250_Varfh07, exploredata-ZA5250_Varmc02, exploredata-ZA6612_VarQ4_15_slice, exploredata-ZA6612_VarQ4_8_slice, exploredata-ZA6616_Varq15a, exploredata-ZA6616_Varq15g, exploredata-ZA6638_VarF20_2, exploredata-ZA6638_VarF20_3, exploredata-ZA6638_VarF20_5, exploredata-ZA6638_VarF8_3, exploredata-ZA6638_VarF8_8, exploredata-ZA6741_VarS2_11, exploredata-ZA6747_VarV30, exploredata-ZA6801A_Varq11, exploredata-ZA6801_Varq11, exploredata-ZA6802A_Varn204, exploredata-ZA6802_Varn204, exploredata-ZA6976_Vara2b1, exploredata-ZA6976_Vara2b2, exploredata-ZA7697_VarF1_2, exploredata-ZA7697_VarF3, exploredata-ZA7697_VarF37_10, exploredata-ZA7701_Varq110, exploredata-ZA7702_Varq110, exploredata-ZA7753_VarV137, exploredata-ZA7753_VarV138, exploredata-ZA7796_VarF14_1, exploredata-ZA7796_VarF14_3, exploredata-ZA7796_VarF14_6, exploredata-ZA7796_VarF15_3, exploredata-ZA7796_VarF15_4, exploredata-ZA7856_VarV179, missy-mz-2011-ef1097u3, missy-mz-2017-ef116u3, missy-mz-2017-ef178, missy-mz-2018-ef116u3, missy-mz-2018-ef178, missy-mz-2019-ef116u3, missy-mz-2019-ef178, missy-mz-2019-ef225, missy-mz-2020-eb0600pu03, missy-mz-2020-ed1700p
55053	arbeit zufriedenheit	publication	cews-2-721192, cews-2-761611, gesis-bib-144878, gesis-bib-84662, gesis-ssoar-37314, gesis-ssoar-42668, gesis-ssoar-56190, gesis-ssoar-62558, gris-publication-1920, literaturpool-2462c841fa237ce68fafa1ce2a3fa78b
55053	arbeit zufriedenheit	research_data	ZA5546, ZA5582, ZA6618, ZA6626, ZA6639, ZA6724, ZA6730, ZA6738, ZA6743, ZA6758, ZA6956, ZA7684, ZA7736, ZA7737, ZA7738, ZA7745, ZA7831
55053	arbeit zufriedenheit	instruments_tools	pretest-28, zis1, zis14, zis2, zis3, zis304, zis305, zis72
55053	arbeit zufriedenheit	variables	exploredata-ZA4741_Varv09202, exploredata-ZA5593_Varx10302, exploredata-ZA5594_Vary10302, exploredata-ZA6623_Varq4a, exploredata-ZA6623_Varq4h, exploredata-ZA6623_Varq4i, exploredata-ZA6976_Vara2b2, exploredata-ZA7816_VarF1, exploredata-ZA7816_VarF22, exploredata-ZA7816_VarF27
54995	arbeitgeber	publication	cews-2-506912, cews-2-615550, cews-2-738165, gesis-ssoar-10544, gesis-ssoar-34313, gesis-ssoar-34411, gesis-ssoar-34607, gesis-ssoar-37364, gesis-ssoar-40795, gesis-ssoar-41507, gesis-ssoar-41955, gesis-ssoar-45110, gesis-ssoar-47094, gesis-ssoar-55164, gesis-ssoar-57055, gesis-ssoar-57370, gesis-ssoar-58610, gesis-ssoar-65224, gesis-ssoar-71239, gesis-ssoar-75890
54995	arbeitgeber	research_data	SDN-10.7802-1589, SDN-10.7802-2355, SDN-10.7802-2520, SDN-10.7802-2521, ZA1085, ZA3379, ZA3656, ZA3657, ZA3940, ZA4058, ZA4240, ZA4265, ZA4413, ZA4535, ZA4559, ZA4659, ZA4661, ZA4677, ZA5065, ZA5066, ZA5074, ZA5139, ZA5151, ZA5190, ZA5192, ZA5245, ZA5250, ZA5252, ZA5270, ZA5272, ZA5323, ZA5354, ZA5523, ZA5524, ZA5634, ZA5647, ZA5650, ZA5657, ZA5718, ZA5727, ZA5728, ZA5738, ZA5739, ZA5749, ZA5770, ZA5799, ZA5889, ZA5900, ZA5909, ZA5981, ZA6290, ZA6597, ZA6603, ZA6612, ZA6616, ZA6621, ZA6625, ZA6637, ZA6638, ZA6680, ZA6701, ZA6702, ZA6732, ZA6747, ZA6759, ZA6770, ZA6795, ZA6801, ZA6802, ZA6818, ZA6887, ZA6888, ZA6902, ZA6921, ZA6927, ZA6953, ZA6956, ZA6976, ZA6986, ZA7493, ZA7495, ZA7573, ZA7579, ZA7623, ZA7625, ZA7626, ZA7627, ZA7642, ZA7646, ZA7672, ZA7673, ZA7675, ZA7745, ZA8390, ZA8408, ZA8450, ZA8593, ZA8620, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de431084, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de562430, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de562432, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de655380, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de660539, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de662263, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de662347, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de669394, datasearch-httpwww-da-ra-deoaip--oaioai-da-ra-de714417
