topic_cluster	topic_cluster_name	query_id	query	item_type	language
3	work	55428	arbeit	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	55053	arbeit zufriedenheit	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	54995	arbeitgeber	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	55130	arbeitsbedingungen	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	55226	arbeitsbelastung	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	56202	arbeitsbelastungen	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	56089	arbeitsleistung	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	3125	arbeitslosigkeit	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	57703	arbeitsweg	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	3474	arbeitszeit	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	2160	beruf	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	53827	berufsabschluss	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	53774	berufsausbildung	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	54808	berufsprestige	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	54621	beschäftigungsverhältnis	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	46134	care arbeit	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	15721	job	['publication', 'research_data', 'instruments_tools', 'variables']	en
3	work	15758	job satisfaction	['publication', 'research_data', 'instruments_tools', 'variables']	en
3	work	15640	karriere	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	18263	mitarbeiter	['publication', 'research_data', 'instruments_tools', 'variables']	de
3	work	30368	work	['publication', 'research_data', 'instruments_tools', 'variables']	en
3	work	29262	zufriedenheit arbeit	['publication', 'research_data', 'instruments_tools', 'variables']	de
4	politics	3420	left right	['publication', 'research_data', 'instruments_tools', 'variables']	en
4	politics	21846	links rechts	['publication', 'research_data', 'instruments_tools', 'variables']	de
4	politics	21879	links rechts skala	['publication', 'research_data', 'instruments_tools', 'variables']	de
4	politics	21895	linksrechts	['publication', 'research_data', 'instruments_tools', 'variables']	de
4	politics	21585	linksrechtsskala	['publication', 'research_data', 'instruments_tools', 'variables']	de
4	politics	10418	politic	['publication', 'research_data', 'instruments_tools', 'variables']	en
4	politics	9243	political efficacy	['publication', 'research_data', 'instruments_tools', 'variables']	en
4	politics	9169	political interest	['publication', 'research_data', 'instruments_tools', 'variables']	en
