query_id	query	research_desc	research_narr
100	immigrant	The user seeks comprehensive surveys and datasets on immigrants and immigration in Germany and the EU, covering public attitudes, policy evaluation, skilled-worker migration, and immigrants’ integration and experiences, along with methodological and demographic details.	A document is relevant to the query “immigrant” if it primarily discusses immigrants or immigration, such as public attitudes to immigration in Germany, integration outcomes, skilled worker admission, asylum/deportation policy, or survey-based findings on immigrant groups (e.g., ENTRA, EU MIDIS II, SCIP). Materials that present methods and demographics specifically for immigrant populations (e.g., sampling Italians, Poles, Syrians, Turks; second-generation studies), or analyze immigrant experiences like language acquisition, discrimination, labor market access, or party positions on immigration, also count as relevant. Items become weakly relevant or non-relevant when “immigrant” appears only tangentially within broad topics (e.g., general environment or rail-service modules) or when the primary focus is the general population with only a passing variable about immigrants. Edge cases include documents about refugees/asylum seekers or second-generation migrants, which are usually relevant if they address immigrant integration or policy; historical migration studies (e.g., 17th–20th century Berlin) are relevant if they focus on immigrant groups rather than generic mobility. Conversely, pieces centered on emigration from a country, generic “migration” without specifying immigrants in the destination, or where “immigrant” appears only in metadata or a single manifesto bullet without substantive analysis, are likely non-relevant.
10109	politik	The query seeks survey-based resources on politics—primarily in Germany—covering media’s role and influence, journalist–politician relations, and public trust. It also spans attitudes toward democracy, parties and politicians, political participation (including women and nonvoters), election behavior, and demographic correlates.	For the query “politik,” a document is relevant if it substantively addresses politics or public policy—e.g., government institutions, parties, elections, media’s role in democracy, voter behavior, public opinion, or issues like equality and reunification. Content such as survey reports or codebooks detailing topics like media influence on political trust, party identification, non-voter motivations, democracy satisfaction, or attitudes toward politicians clearly qualifies. It is non‑relevant if “Politik” appears only as a passing term or in non-political senses, such as corporate “Firmenpolitik,” school rules, or product/brand names, or if the text is primarily methodological without political substance. Edge cases include documents where “Politik” appears inside compounds (e.g., Medienpolitik, Gleichstellungspolitik), which are still relevant, and materials in German that omit the exact keyword but cover synonymous topics (Regierung, Demokratie, Wahlen), which should be considered relevant despite keyword mismatches. Conversely, metadata or tag-only mentions of “Politik” with body text about unrelated topics would be marginal or non-relevant.
10418	politic	The query seeks surveys and datasets on political behavior and culture—covering post-election dynamics, trust in institutions, left-right orientations, participation, socialization, and the interplay between politics and media (including social media)—across various countries and groups (citizens, journalists, students, teachers). It aims to compile evidence on media influence, political communication, extremism, and related demographics/methods, including special cases like GDR political prisoner estimates and comparative election studies.	A document is relevant if it discusses politics in substance—e.g., elections, parties, voting behavior, left–right orientations, citizen trust in institutions, media influence on democracy, political communication, or policy debates—like the surveys on post-election developments, media’s role in politics, political participation, and attitudes toward extremism. Content analyzing political journalism, opinion polls, social media as a political information source, or historical topics such as political prisoners in the GDR also qualifies, as do demographic variables when they are tied to political attitudes or behavior. It may be borderline if it treats media use, education, or social engagement without a clear political link, or if “politic” only appears in coding fields or boilerplate without substantive political discussion. Non-relevant cases include uses of “politic” as an adjective meaning “prudent,” brand or platform names (e.g., Politico) without political content, or unrelated topics where “politic” occurs only as a substring or in tangential metadata. Edge cases include studies centered on students or women where politics is one section—these are relevant if they measure political interest, participation, or opinions, but not if they focus exclusively on non-political life conditions.
1112	politisches interesse	The user seeks survey data and research on political interest and participation, including measures like campaign/election interest, party identification, perceived efficacy, media use, socialization, and demographics. They are especially interested in gender differences (e.g., among women by education and East/West region) and perceptions of equality in Germany, with some comparative context.	A document is relevant if it explicitly measures or discusses political interest (politisches Interesse/Politikinteresse), such as self-assessed interest in politics, interest in election campaigns or outcomes, or the political interest of parents, and often ties this to media use, political discussions, or participation. Examples include surveys of women’s interest in different policy fields, student or youth studies tracking interest before/after major events, and datasets listing variables like interest in politics, campaign attention, or frequency of political information seeking. Proxies also count, such as indices or scales capturing political engagement, talk frequency about politics with family or peers, or intensity of consuming political news, even if the exact keyword appears only in variable labels. Non-relevant are texts where “Interesse” refers to non-political topics (e.g., music or TV genres without a political link) or to “interests” as group advantages (e.g., class or national interests) rather than an individual’s interest in politics. Edge cases include alternative phrasings (Interesse an Politik, politisches Interesse des Vaters), historical DDR/BRD contexts where “Interessen der Werktätigen” is not the target concept, and documents on participation that omit any measure or discussion of political interest.
1156	religion	The user seeks social survey datasets and variables on religion—affiliation, beliefs, practices—and how these relate to politics, values, voting, and demographics. The focus is largely Germany (censuses, ALLBUS, World Youth Day) with comparative international modules on church–state relations, moral issues, and societal attitudes.	A document is relevant to the query “religion” when it substantively addresses religious beliefs, practices, affiliations, or the social and political role of religion—for example, surveys on belief in God or an afterlife, church attendance, denominational membership, secularization trends, religious education, or the influence of churches on government and voting. Materials analyzing attitudes toward other faiths, acceptance of religious out-groups, World Youth Day participation and its impact, or religion–science tensions also clearly qualify. By contrast, content that only mentions “religion” in passing (e.g., as a single demographic checkbox, a variable label, or a venue name) without analysis, or discussions of politics and social issues that lack any explicit religious dimension, would be non-relevant. Edge cases include broad social surveys: they are relevant if they contain dedicated modules or multiple measures on religiosity (as in the examples listed), but only weakly relevant if religion appears as a minor, optional item. Similarly, datasets reporting legal church membership without addressing beliefs or practice may be relevant for affiliation queries but not for questions about lived religiosity or theology.
11910	persönlichkeit	The user seeks social survey data and analyses related to personality and personal identity, including the scales used and evaluations of personality traits across groups and nations. They are especially interested in findings from East/West German longitudinal studies linking personality to political interest, attitudes toward other nations, and life conditions.	A document is relevant if it contains the German keyword “Persönlichkeit” or close variants and uses it in context, such as personality traits, personal identity, or the portrayal/evaluation of persons. Clear hits include phrases like “persönliche Identität Skala,” “Bewertung von Persönlichkeits- und sozialen Eigenschaften,” “Darstellung der Persönlichkeit August Bebels,” or “Sympathie für politische Persönlichkeiten,” as they explicitly invoke the term. Non-relevant items are those discussing politics, media use, or demographics that never include the string or only use related adjectives like “persönliche” without the noun when exact-match retrieval is required. Edge cases include plural and compounds (e.g., “Persönlichkeiten,” “Persönlichkeitsentwicklung,” “Persönlichkeits-”), hyphenation or OCR breaks (“Persönlichkeits und sozialenEigenschaften”), and diacritic variants (“Persoenlichkeit,” “personlichkeit”). Also note the semantic ambiguity: references to “Persönlichkeiten” as notable figures are keyword matches but may be less relevant if the user intended personality-as-traits, whereas identity and personality-scale content is strongly on-target.
12195	persönlichkeitsmerkmale	The user is seeking information on personality traits—how they are defined and measured—and their relationships with political attitudes, education, health behaviors, and social integration. They appear interested in German surveys and longitudinal studies that assess personality characteristics and their development among students and youth, and how these traits relate to outcomes like academic success, career paths, and civic attitudes.	A document is relevant to the query “persönlichkeitsmerkmale” when it explicitly measures, analyzes, or reports personality traits (e.g., via named scales, item batteries, or self-assessments) rather than merely mentioning the term. Clear positives include surveys of students or workers that list “leistungsrelevante/studienrelevante Persönlichkeitsmerkmale,” Big-Five-like constructs, self-control/impulsivity, empathy, dogmatism or rigidity scales, and datasets (e.g., BIBB/BAuA follow-up, GLES modules, Values in Crisis) that contain dedicated personality items alongside demographics. Documents are only partially relevant when “Persönlichkeitsmerkmale” appears in a topic list without corresponding variables, measurement details, or results, or when traits are treated tangentially to broader themes such as ideology, study success, or health. They are non-relevant if the word is used in a non-psychological sense, if no trait constructs or measurements are present, or if content focuses solely on attitudes or behaviors without linking them to stable personality dimensions. Edge cases include DDR-era studies using compound phrases (e.g., leiterrelevante/studienrelevante Persönlichkeitsmerkmale) or synonyms like Eigenschaften/Persönlichkeitsentwicklung; these are relevant only when they clearly denote measured personality traits rather than vague character descriptions or expectations.
1259	sexuelle orientierung	The user seeks surveys and datasets on sexual orientation that capture experiences, attitudes, and behaviors of LGBTQ+ people—covering daily life, relationships, sexual practices, HIV/STI knowledge and prevention, discrimination, and social context—mainly in Germany and the EU. They want to identify relevant studies (e.g., EU LGBTI II, Eurobarometer) and the variables/questionnaire content for comparative analysis.	A document is relevant to “sexuelle Orientierung” if it explicitly treats sexual orientation—such as self-identification (heterosexual, homosexual, bisexual), patterns of attraction or behavior with same- or opposite-sex partners, coming out, or discrimination and social experiences tied to being LGBTI. Examples include survey modules asking for current heterosexual/homosexual orientation, men 16–65 being asked about sexual relations with men, studies on everyday problems of homosexuals or lesbians, or the EU FRA LGBTI II survey reporting on bias and violence due to sexual orientation. Non‑relevant would be materials focused only on AIDS/STI knowledge, condom use, contraception, or general “Wertorientierungen” (value orientations) without linking them to sexual orientation, as well as content about gender identity (trans/intersex) that omits orientation. Edge cases include texts where “Orientierung” means life values or school orientation sessions (false positives), and studies that don’t ask identity but allow inference via partner gender—these can still be relevant as proxies. German synonyms like sexuelle Identität or Ausrichtung, and modules restricted to subgroups (e.g., homosexuelle Männer, lesbische Frauen), also count as relevant even if the exact keyword appears sparsely.
12604	personal	The user seeks social survey datasets focused on personal attitudes, experiences, and behaviors in Germany and the EU. Topics span EU opinions, online privacy/data protection, political communication, social and family networks, religion, health and medication costs, fear of crime, and population displacement, with detailed demographics and survey metadata.	A document is relevant if “personal” refers to individual-level information, attitudes, experiences, or actions and is a central theme, such as protection of online personal data, willingness to provide personal information, personal financial shares for medications, political communication in the personal environment, or measures of personal identity, trust, devoutness, or health. For example, surveys about explicit personal approval before data processing, concerns about personal data being used without consent, personal net income, personal illness, or personal use of the internet would qualify. Documents are non-relevant when “personal” is absent, incidental, or merely lexical noise—e.g., tables about “persons” or “displaced persons,” uses of “personnel,” or broad population statistics that do not discuss personal-level issues. Edge cases include metadata mentions like “personal questionnaire” or single checklist items (e.g., “personal net income”) within a long, unrelated instrument; these are only weakly relevant unless the document substantively analyzes the personal dimension. Given the query’s breadth, prioritize documents where “personal” appears in titles/headings or repeatedly in core measures (e.g., personal data protection, personal trust/approval), and down-rank items where it is a minor attribute in an otherwise unrelated topic.
1293	alcohol	The query seeks survey-based information on alcohol use and attitudes, including consumption patterns, contexts, motives, perceived risks, and policy views, with demographic comparisons. It also covers related behaviors (smoking, drugs, drinking and driving) and health/social consequences, primarily in Germany and the EU across youth and adults.	A document is relevant to the query “alcohol” when it addresses beverage alcohol (ethanol) use, attitudes, risks, or policies—such as drinking frequency, types of drinks (beer, wine, spirits/schnapps/liqueurs), binge episodes, age at first drink or intoxication, motives and contexts for drinking, price sensitivity, warnings, alcoholism/dependence, treatment, or driving under the influence and legal blood alcohol limits. The paragraph is highly relevant because it details surveys on Germans’ and youths’ alcohol consumption patterns, preferred beverages, comparisons to peers, reactions to non-alcoholic options, knowledge of alcoholics, perceived dangers, susceptibility, and policy views (e.g., under‑18 sales bans, advertising restrictions, and random police checks). Mixed-topic health or lifestyle datasets are also relevant if they include substantive alcohol variables (e.g., last-week quantities, household alcohol supply, frequency of 5+ drinks, DUI behavior or knowledge of legal limits). Non-relevant items are those where “alcohol” appears only tangentially or chemically (e.g., polyvinyl alcohol, rubbing alcohol, ingredient lists) or materials focused solely on tobacco/drugs without meaningful alcohol measures. Edge cases include documents on non-alcoholic beverages, organ donation, or general health screening that qualify only if they contain specific alcohol consumption or attitude data; synonyms and related terms like intoxication, blood alcohol, alcoholism, dependency, and sobriety also indicate relevance.
