topic_cluster	query_id	query	item_type	result_set
3	52908	2009 job satisfaction	variables	exploredata-ZA4231_Varv435, exploredata-ZA4231_Varv437, exploredata-ZA4231_Varv454, exploredata-ZA4231_Varv455, exploredata-ZA4231_Varv457, exploredata-ZA4231_Varv458, exploredata-ZA4231_Varv459, exploredata-ZA4231_Varv461, exploredata-ZA4975_Varv78, exploredata-ZA4975_Varv79
3	52347	abb arbeitsbeschreibung neuberger	publication	gesis-solis-00041797
3	52346	abb arbeitszufriedenheit neuberger allerbeck	instruments_tools	zis2, zis23
3	51515	afd arbeiter	research_data	ZA5664, ZA5665, ZA5704, ZA6655, ZA6656, ZA6803, ZA6804, ZA6806, ZA6807
3	51523	affektive einstellung job satisfaction	instruments_tools	pretest-28, pretest-47, pretest-72, zis1, zis136, zis14, zis147, zis2, zis231, zis240
3	51359	agil arbeit	publication	gesis-ssoar-64475, gesis-ssoar-64884, gesis-ssoar-67683, gesis-ssoar-68670, gesis-ssoar-71444, gesis-ssoar-72644, gesis-ssoar-75132, gesis-ssoar-78598, gesis-ssoar-79588, gesis-ssoar-83562
3	51915	aktivierung arbeitslose	publication	gesis-ssoar-10930, gesis-ssoar-11445, gesis-ssoar-11519, gesis-ssoar-17409, gesis-ssoar-29423, gesis-ssoar-30739, gesis-ssoar-31878, gesis-ssoar-40303, gesis-ssoar-45987, gesis-ssoar-64750
3	52883	allbus 2008 berufliche stellung	research_data	ZA4600, ZA4601, ZA4602, ZA4603, ZA5240, ZA5270, ZA5272, ZA5275, ZA5277, ZA5280
3	52878	allbus arbeitslosigkeit	publication	bibsonomy-muhling2012beziehungsverlufe, bibsonomy-weins2011gruppenbedrohung, gesis-ssoar-25642, gesis-ssoar-25679, gesis-ssoar-28859, gesis-ssoar-31217, gesis-ssoar-35717, gesis-ssoar-37171, gesis-ssoar-39794, gesis-ssoar-48211
3	52877	allbus arbeitszufriedenheit	publication	gesis-bib-150565, gesis-ssoar-20083, gesis-ssoar-31445, gesis-ssoar-31899, gesis-ssoar-48755, gesis-ssoar-48788, gesis-ssoar-52688, gesis-ssoar-54363, literaturpool-0873fe53aa4da47520e2fd77da2a9478, literaturpool-63bf8792de8d7791b8078d09a749a09e
3	5790	allbus familie und beruf	research_data	SDN-10.7802-2371, ZA1601, ZA1990, ZA3974, ZA4574, ZA4578, ZA4582, ZA4584, ZA4586, ZA4588, ZA4614, ZA4616, ZA4617, ZA5242, ZA5252, ZA5270, ZA5271, ZA5272, ZA5273, ZA5280
3	52659	allbus frauen karriere	research_data	ZA1335, ZA5664, ZA5665
3	52658	allbus hausarbeit	research_data	ZA3700, ZA4614, ZA5664, ZA5665
3	52689	allbus stunden arbeit	variables	exploredata-ZA4614_VarV249, exploredata-ZA4614_VarV250, exploredata-ZA5240_VarV119, exploredata-ZA5240_VarV135, exploredata-ZA5240_VarV136, exploredata-ZA5240_VarV137, exploredata-ZA5250_VarI011, exploredata-ZA5250_Vardw15, exploredata-ZA5250_Vardw37, exploredata-ZA5250_Vardw40
3	52533	allgemeine arbeitszufrie	instruments_tools	zis1
3	6546	allgemeine arbeitszufried	instruments_tools	zis1
3	6547	allgemeine arbeitszufrieden	instruments_tools	zis1
3	21	allgemeine arbeitszufriedenheit	instruments_tools	ZA0903, gesis-ssoar-20030, gesis-ssoar-2416, gesis-ssoar-32519, gesis-ssoar-38170, gesis-ssoar-40352, undefined, zis1, zis2, zis229, zis27, zis277, zis304, zis35, zis36, zis37, zis76
3	52537	allgemeine arbeitszufriedenheit	publication	bibsonomy-bosau2009arbeitszufriedenheitsmessung, gesis-ssoar-20030, gesis-ssoar-21934, gesis-ssoar-38170, gesis-ssoar-40352, gesis-ssoar-46036, gesis-ssoar-47094, gesis-ssoar-53326, gesis-ssoar-65029, gesis-ssoar-6895
3	52534	allgemeine arbeitszufriedenheit	research_data	ZA3626, ZA3975, ZA4804, ZA5189, ZA5245, ZA5352, ZA5664, ZA5665, ZA5666, ZA5975, ZA6598, ZA6599, ZA6770, ZA8642
3	56452	analyse der arbeits und lebensbedingungen berufstätiger mütter und väter	research_data	ZA6998, ZA6999
3	56474	angehörigenarbeit	publication	gesis-ssoar-11026, gesis-ssoar-11080, gesis-ssoar-12514, gesis-ssoar-18625, gesis-ssoar-21964, gesis-ssoar-21965, gesis-ssoar-37308, gesis-ssoar-46693, gesis-ssoar-49053, gesis-ssoar-56080
3	56466	angestellte nsdap	publication	gesis-ssoar-37971, gesis-ssoar-37990, gesis-ssoar-37991, gesis-ssoar-37992, gesis-ssoar-38816, gesis-ssoar-46562, gesis-ssoar-48412, gesis-ssoar-48453.2, gesis-ssoar-50590, gesis-ssoar-81880
3	1640	arbeit	instruments_tools	gml-10, gml-11, gml-12, gml-14, gml-15, gml-2, gml-4, pretest-10, pretest-101, pretest-114, pretest-116, pretest-12, pretest-122, pretest-125, pretest-14, pretest-16, pretest-19, pretest-2, pretest-20, pretest-21, pretest-22, pretest-23, pretest-24, pretest-28, pretest-29, pretest-3, pretest-30, pretest-31, pretest-34, pretest-35, pretest-36, pretest-38, pretest-4, pretest-40, pretest-42, pretest-47, pretest-48, pretest-50, pretest-54, pretest-59, pretest-60, pretest-72, pretest-73, pretest-74, pretest-75, pretest-8, pretest-80, pretest-87, pretest-89, pretest-90, pretest-94, pretest-96, pretest-97, sg-12, sg-13, sg-37, sg-41, zis1, zis10, zis103, zis11, zis111, zis12, zis125, zis126, zis13, zis131, zis133, zis134, zis14, zis148, zis155, zis16, zis17, zis170, zis175, zis176, zis177, zis178, zis179, zis18, zis192, zis196, zis2, zis204, zis209, zis21, zis22, zis220, zis23, zis238, zis24, zis243, zis249, zis25, zis251, zis253, zis257, zis26, zis260, zis266, zis268, zis27, zis273, zis275, zis277, zis279, zis28, zis280, zis281, zis282, zis285, zis287, zis288, zis29, zis291, zis296, zis297, zis298, zis299, zis3, zis301, zis303, zis304, zis305, zis307, zis31, zis314, zis315, zis316, zis32, zis4, zis5, zis51, zis53, zis58, zis6, zis64, zis7, zis71, zis72, zis73, zis74, zis75, zis8, zis9, zis90
