query_id	query	pub_desc	pub_narr
100	immigrant	The user seeks an overview of research on immigrants’ integration and impacts in host societies. Specifically, they want evidence on how immigration policy frameworks and the composition of inflows shape native attitudes, labor market outcomes, welfare/crime perceptions, and political behavior across countries, and what policies best support integration.	A document is relevant if it substantively focuses on immigrants as people residing in a receiving country—covering their experiences, integration, labor-market outcomes, health, legal treatment, political participation, or public attitudes/policy toward immigration (e.g., studies of EU8 immigrants in Germany, second-generation outcomes, or analyses of integrative vs restrictive policies). Morphological and related terms count when clearly about the same concept, such as immigration, immigrant-origin, first/second generation, or comparisons of refugees/economic migrants that speak to immigrant reception and impact. It is weakly or non-relevant if “immigrant” appears only in passing (titles, footnotes, metadata), is used metaphorically or in unrelated domains (e.g., “Immigrant Song,” animal “immigrants” in ecology), or discusses emigration/internal migration without linking to immigrants in a host society. Edge cases include country-specific policy evaluations, legal analyses of enforcement and criminalization, or media-framing studies—all relevant if immigrants are the core subject; by contrast, broad labor or cultural studies that do not distinguish immigrant status, or datasets where “immigrant” is incidental, are not. Even documents taking negative or positive stances, historical chapter outlines, or cross-national attitude surveys are relevant when immigrants are central to the research question.
10109	politik	The query seeks scholarly overviews of “politics” that explain political decision-making and governance (e.g., public choice, principal–agent), the symbolic and media-mediated dimensions of politics, and how gender, ideology, and institutions shape political behavior. It also looks for applications such as protest as alternative politics, policy advice and evidence-based policymaking, refugee policy, and youth engagement.	For the query “politik,” a document is relevant if it substantively treats politics in the German sense—political processes, institutions, actors, or policies—and uses terms like Politik, politisch, Politiker, or compounds such as Politikberatung or Flüchtlingspolitik in meaningful context. Examples of clearly relevant content include analyses of principal–agent problems in representative democracy, studies of politicians’ emotional expressivity in media, discussions of symbolic politics and politainment, policy advice and evidence-based policymaking, protest as alternative politics, political economy, or systems-theory views of political steering. A document is non-relevant if “Politik” appears only tangentially (e.g., as a throwaway line, in metadata, or as “Firmenpolitik” in a purely corporate/organizational sense) or if the focus is on unrelated domains like sport or culture without analytical linkage to political phenomena. Edge cases such as philosophical treatments (utopia/biopolitics), media–politics intersections, or football–politics overlaps are relevant when they analyze political power, communication, or decision-making, but purely metaphorical or linguistic uses without public/political substance are not. Morphological variants and topical compounds count toward relevance, whereas accidental substring matches or proper names without political analysis do not.
10418	politic	The user seeks research on what drives political participation and engagement, focusing on how political knowledge, interest, internal efficacy, media use, education, and institutional context shape different forms of participation. They want comparative evidence and mechanisms (e.g., mediation effects) across countries and generations, covering voting, conventional/unconventional activism, political consumerism, and related attitudes like trust.	A document is relevant if it substantively discusses politics and contains the keyword “politic” or its common variants (political, politics, politician), for example in phrases like “political participation,” “internal political efficacy,” or “political knowledge.” Studies of political behavior, institutions, or theory—such as work on political symbolism, political geography, or political consumerism—are also relevant when these terms are used in analytical text, not just in passing. A document is non-relevant if “politic” appears only as the adjective meaning “prudent” (e.g., “a politic choice”) or shows up solely in boilerplate, references, or metadata without real discussion of politics. Edge cases include near-terms like “policy,” “police,” or “polity,” and foreign-language cognates such as German “Politik” or French “politique,” which are topically related but may not match a strict “politic” query unless stemming or multilingual normalization is applied. High keyword frequency from duplicated passages or citation lists should not by itself determine relevance; the content should analyze or report on political phenomena.
1112	politisches interesse	The query seeks research on political interest—its measurement, trends over time, and key determinants such as education, age, gender, class, and political orientation—and how it affects participation and voting. It focuses largely on evidence from Germany (e.g., ALLBUS surveys), including youth dynamics, euroskepticism, and the roles of resources and media.	A document is relevant if it directly examines or measures citizens’ political interest, its determinants, trends, or effects—for example, analyses using ALLBUS 1980–2002 that test education, age, gender, party support, and cohort/period influences, or reports showing that higher education predicts greater political interest. Studies that link political interest to mobilization and behavior (e.g., euroskeptics’ turnout and party choice, or politainment’s impact moderated by interest) are also relevant, as are works that define political interest versus apathy and document youth or gender gaps with indicators and empirical results. By contrast, texts about “Interessen” as group or institutional interests—such as federal mixed financing, interest representation of the homeless, or religious “interest” as a legitimacy device—are non-relevant unless they explicitly analyze individuals’ interest in politics. Edge cases include pieces that only mention political interest without data or theory (weak relevance) and educational or DDR studies that assess interest in political/ideological learning, which are relevant if they operationalize and report measures of political interest.
1156	religion	The user is seeking scholarly analyses of religion’s role in modern societies, focusing on how it intersects with the state, politics, inequality, nationalism, and civil society. They want comparative and empirical research on secularization trends, state regulation and favoritism, public attitudes, and the social and economic effects of religiosity across countries.	A document is relevant to the query “religion” when it substantively examines religion as belief, practice, community, or institution, or analyzes how religion intersects with politics, economics, law, identity, or social inclusion. Clear examples include research on religion in International Relations, youth movements like New Age/evangelicalism/Salafism, cross-national measures of state regulation or favoritism toward religion, and studies linking religion to nationalism, welfare attitudes, or economic development. Region- or method-focused works (e.g., the Oxford Handbook on Ireland, post-communist civil society, ISSP/WVS-based analyses) are relevant when religion is the central analytic category rather than a passing descriptor. Non-relevant items are those that invoke “religion” only metaphorically, mention it in passing without analysis, or discuss culture/national identity without engaging religious beliefs, institutions, or religiosity. Edge cases that should still count as relevant include studies of secularization, “no religion,” interfaith marriage, church–state policy, or “religiosity” under different labels (faith, public religion), whereas pieces that only cite “religion” in a title or dataset metadata without discussing it are not.
11910	persönlichkeit	The user seeks an overview of personality (Persönlichkeit)—its definitions, development, and measurement (e.g., Big Five)—and how personality relates to work, learning/therapy, identity, and social-political attitudes such as authoritarianism, prejudice, and populism.	A document is relevant if it analyzes personality as a psychological or sociological construct—defining traits, measuring them (e.g., Big Five), tracing their development or change, or linking personality to outcomes such as work socialization, prejudice, learning, or well-being. Empirical studies on the authoritarian personality, longitudinal research on how early career shapes personality, neurosci explanations of how personality forms, or methods papers proposing short personality scales are strong matches. Content that centers on “personalities” as notable individuals (e.g., historical or scientific personalities) is only relevant if it explicitly theorizes personality formation or attributes in those figures, not merely profiles or reputational narratives. Items focused on identity, culture, or class are borderline unless they directly tie identity constructs to personality traits or development. Edge cases include metaphorical or collective uses (e.g., “collective personality” of a group) and educational or therapeutic frameworks that place personality at the core; these are relevant when they articulate how personality is conceptualized, measured, or changed, and less so if “Personality” is used loosely without analytical depth.
12195	persönlichkeitsmerkmale	The user seeks academic information on personality traits and their measurement (e.g., Big Five, authoritarianism) and how these traits relate to outcomes such as political knowledge and attitudes, educational transitions, work behavior, and social engagement. They are interested in survey-based studies, validation of brief scales, and comparisons of personality effects with demographic or contextual factors.	A document is relevant if it directly examines, measures, or models Persönlichkeitsmerkmale (personality traits) or closely synonymous constructs (e.g., Persönlichkeitsfaktoren), such as studies using Big Five scales, authoritarism/alienation indices, or validated short instruments, and if it links these traits to outcomes (political knowledge, partnership conflict, police selection, student performance, volunteering). It is also relevant when it focuses on methodological issues of trait measurement (scale validation, factor analyses) or reports clear associations between trait profiles and behaviors or attitudes (e.g., right/materialist orientations among highly authoritarian individuals, time-perspective profiles tied to traits). Documents that merely discuss Persönlichkeitsentwicklung (personality development) or identity in broad terms without specifying or operationalizing traits, or that mention traits only in passing without analysis, are non-relevant. Edge cases include studies on adjacent constructs (e.g., technophile attitudes or “Kompetenzerwartung”) that function as trait-like dispositions—these can be relevant if explicitly treated as Persönlichkeitsmerkmale, but not if framed solely as situational attitudes or institutional factors. Synonym and morphology variations in German (e.g., Persönlichkeitsfaktoren, Merkmale der Persönlichkeit) count, while generic uses of “persönlich” or purely institutional analyses without trait variables do not.
1259	sexuelle orientierung	The user is seeking research and resources on sexual orientation, especially in Germany. Focus areas include prevalence of sexual minorities, coming-out experiences, links with mental health, discrimination and human rights, and institutional responses across healthcare, education, sports, law, and family policy.	A document is relevant if it engages directly with sexual orientation (sexuelle Orientierung) as a core topic—defining or categorizing identities (e.g., heterosexual, bisexual, homosexual), measuring prevalence, or examining coming out, discrimination, health, policy, or family/education impacts. Examples include surveys that stratify respondents by orientation to analyze mental health outcomes, studies of LSBT youth reporting discrimination and support needs, or human-rights/healthcare guidance that addresses protections and treatment specific to sexual orientation. Content is non-relevant when “sexual” refers to different issues (e.g., sexual harassment policies) or when sexual orientation is only name-checked in a glossary or a broad diversity list without substantive discussion. Edge cases: pieces centered on SOGI or queer critiques of hetero/homonormativity are relevant; works about gender identity alone (geschlechtliche Identität) without linking to orientation, or cultural items (e.g., theater, sports debates) that mention orientation only in passing, are marginal.
12604	personal	The query seeks scholarly works related to “personal,” emphasizing personality traits (e.g., Big Five) and their effects on behavior, social decision-making, politics, education, and participation. It also spans personalization in media, personal privacy and data protection, and legal/philosophical notions of personhood and legal personality (including AI).	A document is relevant to the query “personal” when it explicitly discusses personal aspects, such as privacy and personal data, personal relevance in judgments, or personalized content and communication (e.g., analyses of personal data protection in Russia, experiments on personal relevance in justice inferences, studies of personalized news portals or personalized political tweets). Content using close morphological variants like “personalized,” “personalization,” or “personal data” typically qualifies, while terms like “interpersonal” can be borderline because they concern between-person dynamics rather than an individual’s personal sphere. By contrast, pieces focused on “personality” traits or “legal personality” (e.g., Big Five effects on grades, AI legal personality) may be non-relevant if the user intends “personal” in the sense of privacy, individuality, or personalization, despite lexical overlap. Near-spelling terms such as “personnel,” or philosophical uses of “person”/“personhood” without a focus on personal information or individualized content, should be treated as non-relevant. Edge cases include documents where “personal” appears only in passing (titles, citations) or in compound phrases like “personal distribution of income”; these are relevant only if the main discussion centers on personal-level topics rather than incidental mention.
1293	alcohol	The user seeks an evidence-based overview of alcohol’s societal and public health impacts, focusing on how stigma, pricing/taxation and affordability, and policy measures relate to consumption patterns and harms. They also want findings on psychological and social determinants of drinking (e.g., adolescent and partner influences, identity, expectancy effects) and the effectiveness of interventions such as warnings, bans, and messaging, particularly in Europe.	A document is relevant if it focuses on beverage alcohol (ethanol) and its consumption, harms, or regulation—such as studies on stigma toward heavy drinkers, affordability and taxation of beer/wine/spirits, BAC laws, adolescent drinking, intervention effectiveness (e.g., bans, warning labels, media campaigns), or outcomes like DALYs, aggression, and traffic fatalities. Empirical work on patterns by beverage type, social determinants (education, gender, occupation), and mechanisms (e.g., oxytocin, risk-taking) also counts, as do evaluations of Alcoholics Anonymous or historical temperance movements when tied to alcohol use and policy. Content is only partially relevant if alcohol appears tangentially—say, as one of several risk factors—or if the primary focus is general risk perception or self-esteem with minimal alcohol-specific analysis. Non-relevant items include uses of non-beverage alcohols (isopropyl, hand sanitizers), sugar alcohols, organic chemistry discussions of “alcohols,” or metaphorical uses of “spirits,” unless explicitly linked to drinking behavior or policy. Edge cases like methanol poisoning or lab tasks using alcohol as a stimulus are relevant when they address beverage alcohol harms or behavior change, but not when alcohol is merely a solvent or incidental material.
