	topic_cluster_no	topic_cluster_name
0	3	work
1	4	politics
2	5	migration
3	6	environment
4	8	social media
5	9	corona
6	13	social desirability
7	16	gender
8	17	digitization
9	18	religion
10	19	racism and Xenophobia
11	20	climate change
12	22	social inequality
13	24	satisfaction
14	25	crime
15	26	motivation
16	27	health
17	30	violence and sexual abuse
18	31	presse- und informationsamt
19	32	sexuality
20	34	stress
21	35	education
22	36	trust
23	37	self-efficacy
24	38	youth
25	41	family
26	42	mental health
27	43	abortion
28	44	generation z
29	45	drugs
30	46	child poverty and chilcare
31	47	democracy
32	50	security
33	52	personality
34	53	consumption
35	54	mobility
36	56	leadership
37	58	sport
38	59	homeoffice
39	61	discrimination
40	63	culture
41	64	alcohol
42	66	populism
43	67	ukraine
44	68	turkey
45	70	work life balance
46	71	conspiracy
47	72	social work
48	74	depression
49	78	technology
